year,scientific_name,functional_group,Landed value (tonnes)
1992,Acanthocardia tuberculata,Other demersal invertebrates,193.7556236
1993,Miscellaneous aquatic invertebrates,Other demersal invertebrates,44.07505272
1993,Elasmobranchii,Large sharks (>=90 cm),176.3002109
1993,Bivalvia,Other demersal invertebrates,176.3002109
1993,Pteriomorphia,Other demersal invertebrates,95.080776
1993,Scombroidea,Large pelagics (>=90 cm),661.1257908
1993,Soleidae,Small to medium flatfishes (<90 cm),44.07505272
1993,Palinuridae,"Lobsters, crabs",661.1257908
1993,Epinephelus,Medium reef assoc. fish (30 - 89 cm),352.6004218
1993,Pagellus,Medium benthopelagics (30 - 89 cm),44.07505272
1993,Loligo,Cephalopods,44.07505272
1993,Sepia,Cephalopods,220.3752636
1993,Donax,Other demersal invertebrates,13.582968
1993,Dicentrarchus labrax,Large demersals (>=90 cm),44.07505272
1993,Conger conger,Large demersals (>=90 cm),440.7505272
1993,Argyrosomus regius,Large benthopelagics (>=90 cm),44.07505272
1993,Mullus surmuletus,Medium demersals (30 - 89 cm),617.0507381
1993,Diplodus vulgaris,Medium benthopelagics (30 - 89 cm),44.07505272
1993,Chamelea gallina,Other demersal invertebrates,230.910456
1993,Callista chione,Other demersal invertebrates,142.621164
1993,Acanthocardia tuberculata,Other demersal invertebrates,190.161552
1994,Miscellaneous aquatic invertebrates,Other demersal invertebrates,42.868764
1994,Elasmobranchii,Large sharks (>=90 cm),171.475056
1994,Bivalvia,Other demersal invertebrates,171.475056
1994,Pteriomorphia,Other demersal invertebrates,93.2837402
1994,Scombroidea,Large pelagics (>=90 cm),643.03146
1994,Soleidae,Small to medium flatfishes (<90 cm),42.868764
1994,Palinuridae,"Lobsters, crabs",643.03146
1994,Epinephelus,Medium reef assoc. fish (30 - 89 cm),342.950112
1994,Pagellus,Medium benthopelagics (30 - 89 cm),42.868764
1994,Loligo,Cephalopods,42.868764
1994,Sepia,Cephalopods,214.34382
1994,Donax,Other demersal invertebrates,13.3262486
1994,Dicentrarchus labrax,Large demersals (>=90 cm),42.868764
1994,Conger conger,Large demersals (>=90 cm),428.68764
1994,Argyrosomus regius,Large benthopelagics (>=90 cm),42.868764
1994,Mullus surmuletus,Medium demersals (30 - 89 cm),600.162696
1994,Diplodus vulgaris,Medium benthopelagics (30 - 89 cm),42.868764
1994,Chamelea gallina,Other demersal invertebrates,226.5462262
1994,Callista chione,Other demersal invertebrates,139.9256103
1994,Acanthocardia tuberculata,Other demersal invertebrates,186.5674804
1995,Miscellaneous aquatic invertebrates,Other demersal invertebrates,41.53010702
1995,Elasmobranchii,Large sharks (>=90 cm),166.1204281
1995,Bivalvia,Other demersal invertebrates,166.1204281
1995,Pteriomorphia,Other demersal invertebrates,91.4867044
1995,Scombroidea,Large pelagics (>=90 cm),622.9516054
1995,Soleidae,Small to medium flatfishes (<90 cm),41.53010702
1995,Palinuridae,"Lobsters, crabs",622.9516054
1995,Epinephelus,Medium reef assoc. fish (30 - 89 cm),332.2408562
1995,Pagellus,Medium benthopelagics (30 - 89 cm),41.53010702
1995,Loligo,Cephalopods,41.53010702
1995,Sepia,Cephalopods,207.6505351
1995,Donax,Other demersal invertebrates,13.0695292
1995,Dicentrarchus labrax,Large demersals (>=90 cm),41.53010702
1995,Conger conger,Large demersals (>=90 cm),415.3010702
1995,Argyrosomus regius,Large benthopelagics (>=90 cm),41.53010702
1995,Mullus surmuletus,Medium demersals (30 - 89 cm),581.4214983
1995,Diplodus vulgaris,Medium benthopelagics (30 - 89 cm),41.53010702
1995,Chamelea gallina,Other demersal invertebrates,222.1819964
1995,Callista chione,Other demersal invertebrates,137.2300566
1995,Acanthocardia tuberculata,Other demersal invertebrates,182.9734088
1996,Miscellaneous aquatic invertebrates,Other demersal invertebrates,39.87149859
1996,Elasmobranchii,Large sharks (>=90 cm),159.4859944
1996,Bivalvia,Other demersal invertebrates,159.4859944
1996,Pteriomorphia,Other demersal invertebrates,89.6896686
1996,Scombroidea,Large pelagics (>=90 cm),598.0724789
1996,Soleidae,Small to medium flatfishes (<90 cm),39.87149859
1996,Palinuridae,"Lobsters, crabs",598.0724789
1996,Epinephelus,Medium reef assoc. fish (30 - 89 cm),318.9719887
1996,Pagellus,Medium benthopelagics (30 - 89 cm),39.87149859
1996,Loligo,Cephalopods,39.87149859
1996,Sepia,Cephalopods,199.357493
1996,Donax,Other demersal invertebrates,12.8128098
1996,Dicentrarchus labrax,Large demersals (>=90 cm),39.87149859
1996,Conger conger,Large demersals (>=90 cm),398.7149859
1996,Argyrosomus regius,Large benthopelagics (>=90 cm),39.87149859
1996,Mullus surmuletus,Medium demersals (30 - 89 cm),558.2009803
1996,Diplodus vulgaris,Medium benthopelagics (30 - 89 cm),39.87149859
1996,Chamelea gallina,Other demersal invertebrates,217.8177666
1996,Callista chione,Other demersal invertebrates,134.5345029
1996,Acanthocardia tuberculata,Other demersal invertebrates,179.3793372
1997,Miscellaneous aquatic invertebrates,Other demersal invertebrates,37.91048223
1997,Elasmobranchii,Large sharks (>=90 cm),151.6419289
1997,Bivalvia,Other demersal invertebrates,151.6419289
1997,Pteriomorphia,Other demersal invertebrates,87.8926328
1997,Scombroidea,Large pelagics (>=90 cm),568.6572334
1997,Soleidae,Small to medium flatfishes (<90 cm),37.91048223
1997,Palinuridae,"Lobsters, crabs",568.6572334
1997,Epinephelus,Medium reef assoc. fish (30 - 89 cm),303.2838578
1997,Pagellus,Medium benthopelagics (30 - 89 cm),37.91048223
1997,Loligo,Cephalopods,37.91048223
1997,Sepia,Cephalopods,189.5524111
1997,Donax,Other demersal invertebrates,12.5560904
1997,Dicentrarchus labrax,Large demersals (>=90 cm),37.91048223
1997,Conger conger,Large demersals (>=90 cm),379.1048223
1997,Argyrosomus regius,Large benthopelagics (>=90 cm),37.91048223
1997,Mullus surmuletus,Medium demersals (30 - 89 cm),530.7467512
1997,Diplodus vulgaris,Medium benthopelagics (30 - 89 cm),37.91048223
1997,Chamelea gallina,Other demersal invertebrates,213.4535368
1997,Callista chione,Other demersal invertebrates,131.8389492
1997,Acanthocardia tuberculata,Other demersal invertebrates,175.7852656
1998,Miscellaneous aquatic invertebrates,Other demersal invertebrates,35.66458968
1998,Elasmobranchii,Large sharks (>=90 cm),142.6583587
1998,Bivalvia,Other demersal invertebrates,142.6583587
1998,Pteriomorphia,Other demersal invertebrates,86.095597
1998,Scombroidea,Large pelagics (>=90 cm),534.9688452
1998,Soleidae,Small to medium flatfishes (<90 cm),35.66458968
1998,Palinuridae,"Lobsters, crabs",534.9688452
1998,Epinephelus,Medium reef assoc. fish (30 - 89 cm),285.3167174
1998,Pagellus,Medium benthopelagics (30 - 89 cm),35.66458968
1998,Loligo,Cephalopods,35.66458968
1998,Sepia,Cephalopods,178.3229484
1998,Donax,Other demersal invertebrates,12.299371
1998,Dicentrarchus labrax,Large demersals (>=90 cm),35.66458968
1998,Conger conger,Large demersals (>=90 cm),356.6458968
1998,Argyrosomus regius,Large benthopelagics (>=90 cm),35.66458968
1998,Mullus surmuletus,Medium demersals (30 - 89 cm),499.3042555
1998,Diplodus vulgaris,Medium benthopelagics (30 - 89 cm),35.66458968
1998,Chamelea gallina,Other demersal invertebrates,209.089307
1998,Callista chione,Other demersal invertebrates,129.1433955
1998,Acanthocardia tuberculata,Other demersal invertebrates,172.191194
1999,Miscellaneous aquatic invertebrates,Other demersal invertebrates,32.99124006
1999,Elasmobranchii,Large sharks (>=90 cm),131.9649602
1999,Bivalvia,Other demersal invertebrates,131.9649602
1999,Pteriomorphia,Other demersal invertebrates,100.7048
1999,Scombroidea,Large pelagics (>=90 cm),494.8686009
1999,Soleidae,Small to medium flatfishes (<90 cm),32.99124006
1999,Palinuridae,"Lobsters, crabs",494.8686009
1999,Epinephelus,Medium reef assoc. fish (30 - 89 cm),263.9299205
1999,Pagellus,Medium benthopelagics (30 - 89 cm),32.99124006
1999,Loligo,Cephalopods,32.99124006
1999,Sepia,Cephalopods,164.9562003
1999,Donax,Other demersal invertebrates,14.3864
1999,Dicentrarchus labrax,Large demersals (>=90 cm),32.99124006
1999,Conger conger,Large demersals (>=90 cm),329.9124006
1999,Argyrosomus regius,Large benthopelagics (>=90 cm),32.99124006
1999,Mullus surmuletus,Medium demersals (30 - 89 cm),461.8773608
1999,Diplodus vulgaris,Medium benthopelagics (30 - 89 cm),32.99124006
1999,Chamelea gallina,Other demersal invertebrates,244.5688
1999,Callista chione,Other demersal invertebrates,151.0572
1999,Acanthocardia tuberculata,Other demersal invertebrates,201.4096
2000,Miscellaneous aquatic invertebrates,Other demersal invertebrates,34.07602613
