Species (common name),Species (latin name),Functional group,commercial group,Max length (cm),Trophic level,Depth range (m),Coord,Temperature (?C),Vulnerability(%)
Atlantic saury ,Scomberesox saurus saurus,Medium pelagics,Other fishes and inverts,47,3.91,0-30,66øN-60øS,6.5 - 22,25
Bullet tuna,Auxis rochei,Medium pelagics,Tuna and billfishes,47,4.13,-,61øN-51øS,13.6 - 29,27
European argentine,Argentina sphyraena,Medium pelagics,"Salmon, smelts, etc",35,3.62,50-700,70øN-25øS,6.4 - 13.3,36
Frigate tuna,Auxis thazard,Medium pelagics,Tuna and billfishes,59,4.37,-,61øN-51øS,13.8 - 27.1,28
Golden grey mullet,Liza auruta,Medium pelagics,Perch-likes,47,3.01,-,64øN-20øN,ÿ9.7 - 20.7,35
Madeiran sardinella,Sardinelle maderensis,Medium pelagics,Herring-likes,34,3.2,0-80,40øN-25øS,18 - 27.9,33
Salema,Sarpa salpa,Medium pelagics,Perch-likes,51,2,May-70,45øN-40øS,15.3 - 24,41
Spotted seabass,Dicentrarchus punctatus,Medium pelagics,Perch-likes,57,3.94,30-,51øN-10øS,13.3 - 20.7,67
West african spanish mackerel,Scomberomorus tritor,Medium pelagics,Perch-likes,82,4.26,Jan-40,45øN-15øS,22.7 - 27.7,38
Old parrotfish,Sparisoma cretense,Medium reef assoc.fish,Perch-likes,45,2.86,20-50,46øN-13øS,15.1 - 20.3,36
Smooth callista,Callista chione,Other demersal invertebrates,Molluscs,10,2,10-180,57øN-27øS,10.8 - 21.5,10
Striped venus ,Chamelea gallina,Other demersal invertebrates,Molluscs,5,2.1,25-May,64øN-28øS,8.4 - 18.9,10
Tuberculate cockle,Acanthocardia tuberculata,Other demersal invertebrates,Molluscs,8,2.5,25-May,90øN-90øS,8 - 20.7,10
Blue and red shrimp,Aristeus antennatus,Shrimps,crustaceans,22,3.29,100-2200,45øN-14øS,6.6 - 18.3,12
Caramote prawn,Melicertus kerathurus,Shrimps,crustaceans,18,2.7,May-75,45øN-17øS,15.2 - 21.6,17
Deepwater rose shrimp,Parapenaeus longirostris,Shrimps,crustaceans,16,3.31,20-700,45øN-30øS,9.4 - 19.5,10
Giant red shrimp,Aristaeomorpha foliacea,Shrimps,crustaceans,17,2.3,61-1300,35øN-27øS,ÿ5.9 - 15.7,10
Scarlet shrimp,Plesiopenaeus edwardsianus,Shrimps,crustaceans,19,2.3,200-2000,45øN-35øS,ÿ3.7 - 12.6,10
Knifetooth dogfish,Scymnodon ringens,Small  to medium sharks,Sharks and rays,88,3.88,550-1450,58øN-50øS,4.2 - 11.4,58
Saddleb seabream,Oblada melanura,Small benthopelagics,Perch-likes,27,3.03,-,44øN-15øS,17.8 - 27.7,43
African moonfish ,(selene dorsalis),Small demersals,Perch-likes,27,4.08,20-100,39øN-28øS,18.3 - 25.9,25
Boarfish,Capros aper,Small demersals,Other fishes and inverts,23,3.14,40-700,62øN-10øS,6.9 - 15,51
Longspine snipefish,Macroramphosus scolopax,Small demersals,Other fishes and inverts,16,3.47,25-600,66øN-43øS,6.5 - 22.7,27
European anchovy,Engraulis encrasicolus,Small pelagics,Anchovies,20,3.11,0-400,62øN-37øS,7.1 - 18,25
European pilchard,Sardina pilchardus,Small pelagics,Herring-likes,28,3.06,10-100,68øN-15øS,7.1 - 17.3,27
Round sardinelle,Sardinella aurita,Small pelagics,Herring-likes,29,3.4,0-350,46øN-36øS,13.3 - 26.3,37
Common sole,Solea solea,Small to medium flatfishes,Flatfishes,70,3.21,0-150,65øN-5øS,9.0 - 20 ,36
Megrim,Lepidorhombus whiffiagonis,Small to medium flatfishes,Flatfishes,50,4.34,100-700,69øN-26øS,6.3 - 11.4,62
Wedge sole,Dicologlossa cuneata,Small to medium flatfishes,Flatfishes,30,3.32,10-460,47øN-32øS,12.5 - 27.6,31
Brown ray,Raja miraletus,Small to medium rays,Sharks and rays,52,3.8,17-462,44øN-35øS,13.1 - 25.6,51
Undulate ray,Raja undulata,Small to medium rays,Sharks and rays,82,3.5,50-200,53øN-15øS,9.8 - 17.1,63
Blackmouth catshark ,Galeus melastomus,Small to medium sharks,Sharks and rays,74,4.17,55-1873,64øN-14øS,4.4 - 14.4,57
Smallspotted catshark,Scyliorhinus canicula,Small to medium sharks,Sharks and rays,82,3.82,10-780,63øN-12øS,7.2 - 16.2,62
