;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Species (common name);Species (latin name);Functional group;commercial group;Max length (cm);Trophic level;Depth range (m);Coord;Temperature (¨C);Vulnerability(%)
Largeeye dentex;Dentex macrophthalmus;Medium benthopelagics;Perch-likes;54;3.43;30-500;50°N-22°S;13 - 16.8;33
Pouting;Trisopterus luscus;Medium benthopelagics;Cod-likes;42;3.73;30-100;62°N-25°N;7.1 - 12.8;44
Red porgy;Pagrus pagrus;Medium benthopelagics;Perch-likes;73;3.86;0-250;57°N-38°S;15.8 - 27.8;66
Sand steenbras;Lithognathus mormyrus;Medium benthopelagics;Perch-likes;45;3.38;0-150;50°N-40°S;17.1 - 27.5;44
Sharpsnout seabream;Diplodus puntazzo;Medium benthopelagics;Perch-likes;43;3.22;0-150;42°N-28°S;16 - 21.6;34
Silvery john dory;Zenopsis conchifer;Medium benthopelagics;Other fishes and inverts;69;4.50;50-600;58°N-28°S;6.1 - 20.1;61
Splendid alfonsino;Beryx splendens;Medium benthopelagics;Other fishes and inverts;55;4.27;25-1300;65°N-43°S;6.6 - 12.9;57
Vadigo;Campogramma glaycos;Medium benthopelagics;Perch-likes;54;4.50;15-30;55°N-12°S;10.3 - 20.7;45
Bastard grunt ;Pomadasys incisus;Medium demersals;Perch-likes;43;3.80;10-100;47°N-14°S;18.3 - 27.9;40
Bogue;Boops boops;Medium demersals;Perch-likes;32;2.79;0-350;63°N-16°S;11.7 - 27.7;50
Brown meagre;Sciaena umbra;Medium demersals;Perch-likes;59;3.75;10-200;53°N-13°S;12.8 - 19.6;64
Canary drum;Umbrina canariensis;Medium demersals;Perch-likes;65;3.37;50-300;50°N-28°S;11.9 - 19.7;44
Gilthead seabream;Sparus aurata;Medium demersals;Perch-likes;57;3.70;1-150;57°N-43°S;12.1 - 21;40
Lesser african threadfin;Galeoides decadactylus;Medium demersals;Perch-likes;36;3.57;oct-70;38°N-16°S;20.1 - 27.9;31
Lusitanian toadfish;Halobatrachus didactylus;Medium demersals;Other fishes and inverts;41;3.89;oct-50;45°N-4°N;15.5 - 27.5;59
Red mullet;Mullus barbatus barbatus;Medium demersals;Perch-likes;33;3.14;10-328;57°N-15°S; 13.1 - 15.9;29
